No.,店名,団体,品目,区分,出店日,Twitter,Instagram
1,本場たこ焼きMAIDO,物理1年,たこ焼き,主食,両日,,https://www.instagram.com/maido2025_itf.phys
2,じゃぶ鳥,じゃぶじゃ部,焼き鳥,主食,両日,,
3,BABYパチカス,"芸専1-1,2",ベビーカステラ,間食,両日,,https://www.instagram.com/baby_pachikasu_geisen12
4,Pizzeria Hirasuna,情報科学研究会,ピザ,主食,両日,,
5,cutie banana street,芸専1-3,チョコバナナ,デザート,両日,,https://www.instagram.com/cutie_banana_street
6,Imagine Takoyaki Future,"工シス1-3,4",たこ焼き,主食,両日,,https://www.instagram.com/esys_i.tako.f_34
7,落合カレー,メ創1年,カレーライス,主食,両日,https://x.com/ochyaicurry_25,https://www.instagram.com/ochyaicurry_25
8,学より団子,日日1-1,団子,間食,両日,,https://www.instagram.com/gakuyori_dango
9,超臨界焼きそば,化学1年,焼きそば,主食,両日,,https://www.instagram.com/yadosai_chem
10,メディカルバナナ,"医学1-2,3",チョコバナナ,デザート,両日,,https://www.instagram.com/medical.banana_official
11,ぱんぱかパンケーキ,iGEM TSUKUBA,パンケーキ,間食,両日,,https://www.instagram.com/igem_tsukuba
12,Crepeway,医療科1年,クレープ,デザート,両日,,https://www.instagram.com/meds25_crepe._
13,沖縄県人会,沖縄県人会,サーターアンダギー,間食,両日,https://x.com/tsukuba_okiken1,https://www.instagram.com/tsukuba_okinawakenjinkai
14,Holla!! Tacos!!,"社工1-1,3",タコス,主食,両日,,https://www.instagram.com/hola_tacos_shako
15,豚貴族,"総合3類1-1,2",焼き鳥,間食,両日,,https://www.instagram.com/butakizoku_scs
16,はなまるカステラ,教育1-1,鈴カステラ,間食,両日,,https://www.instagram.com/tsukuba_edu
17,九州人会,九州人会,梅が枝餅,間食,本祭のみ,https://x.com/TheKyushuJinkai,https://www.instagram.com/the_kyushu_jinkai
18,地球焼き,地球1年,たこ焼き,主食,両日,,https://www.instagram.com/chikyuuyaki_geo.25
19,ベビべビ,"情科1-1,2",ベビーカステラ,デザート,両日,https://x.com/BebiBebi_ITF,https://www.instagram.com/bebibebi.itf
20,フランクフルトだけじゃダメですか？,社学1-1,フランクフルト,間食,両日,,https://www.instagram.com/frank_damedesuka
21,占いの館,体専1-2,占い,遊戯,本祭のみ,,
22,えんにち三投菓,ダーツ同好会,ダーツ,遊戯,両日,,https://www.instagram.com/darts_tsukuba
23,PANDAのお遊戯会,オセロ同好会PANDA,オセロ,遊戯,両日,https://x.com/ITF_Othelloclub,https://www.instagram.com/itf_othelloclub
24,お菓子打ち取りました,硬式野球部,お菓子すくい,遊戯,本祭のみ,https://x.com/TsukubaBaseball,https://www.instagram.com/tsukuba.bc_official
25,広島県人会お好み焼き,広島県人会,お好み焼き,主食,両日,https://x.com/hiroshima_tkb,https://www.instagram.com/hiroshima_tkb
26,ベビー核テラ,"生物1-3,4",ベビーカステラ,デザート,本祭のみ,,https://www.instagram.com/babykakutella_biol.25
27,旅する焼き鳥屋さん,旅する焼き鳥屋さん,焼き鳥,間食,両日,,
28,いまじん・ざ・やきそば,"総合2類1-2,3",焼きそばパン,主食,両日,,https://www.instagram.com/ity.yakisoba
29,Dr.Egg,"医学1-4,6",ワッフル,デザート,両日,,https://www.instagram.com/dr.egg46
30,つくばフランク王国,"人文1-4,5",フランクフルト,間食,両日,,https://www.instagram.com/tsukuba_frankish_kingdom
31,しらたまだけじゃダメですか？🥺,障科1年,白玉,デザート,両日,,https://www.instagram.com/tsukuba_shouka
32,グンマ―帝国大使館,群馬県人会,焼きまんじゅう,間食,両日,https://x.com/gumma_kenjin,https://www.instagram.com/gmembassytk
33,Crepelab,応理・数学1年,クレープ,デザート,両日,,https://www.instagram.com/tsukuba_crepe_lab_coens
34,チュロっとひと息,看護1年,チュロス,間食,両日,,
35,やきそBAR,"総合1類1-3,4",焼きそば,主食,両日,,https://www.instagram.com/scs202534
36,スモア内科,"医学1-1,5",スモア,デザート,本祭のみ,,https://www.instagram.com/sumoa_naika
37,珈琲・俺,珈琲・俺,コーヒー,飲み物,両日,,https://x.com/cafeore_tkb
38,割烹 肉巻き,医学焚火同好会,肉巻きおにぎり,主食,両日,,https://www.instagram.com/tsukuba.nikumaki
39,IMAGINE THE PEPPER.,"情科1-3,4",ペッパーライス,主食,両日,https://x.com/ITPepper_yado,https://www.instagram.com/itpepper_yado
40,わらび餅ドリンク〜飲むアメーバ〜,"生物1-1,2",わらび餅ドリンク,デザート,本祭のみ,,https://www.instagram.com/itf.yadosai_warabimochi
41,ハリーポッてーと賢者の石,"総合3類1-4,6",トルネードポテト,間食,両日,,https://www.instagram.com/yadosai_potetoooo
42,チュ。ーロスの販売について～,"社学1-2,3",チュロス,デザート,両日,,https://www.instagram.com/shagakuchurros_shop
43,ふぉヤング,硬式テニス愛好会Forest,焼きそば,主食,両日,https://x.com/FOREST_tennis_,https://www.instagram.com/forest_tennis_
44,ハンバーグくじ,TMP,ハンバーグ,主食,両日,,https://www.instagram.com/tsukuba_music_p
45,一問一食【改訂版】,比文1年,パンケーキ,デザート,本祭のみ,,https://www.instagram.com/hbn_yadokari25
46,つくポテ,総合1類1-5,フライドポテト,間食,両日,,https://www.instagram.com/tsukupote.scs15
47,Kure-Crepe,Kure-Crepe[クレクレ],クレープ,デザート,両日,https://x.com/CreapKure,https://www.instagram.com/kurecrepe
48,トルネ〜〜〜ドポテト 大豆ミートからあげ,"総合2類1-7,8",トルネードポテト,間食,本祭のみ,,
49,俺の生物る道,生物2年,二郎系ラーメン,主食,両日,,https://www.instagram.com/oremichi_biol2
50,壱組かすてら堂,総合1類1-1,ベビーカステラ,間食,本祭のみ,,https://www.instagram.com/itf25scs1_1castella
51,Re 海の家,海洋研究会,シーフード焼きそば,主食,両日,https://x.com/kaiyoken,https://www.instagram.com/kaiyoken.skindiving
52,たこピヨ,知識1-1,たこ焼き,主食,両日,,
53,とびだせ　スモアの森,"資源1-3,4",スモア,デザート,両日,,https://www.instagram.com/s.more_by_bres3.4
54,焼きそば処 こくさい,国際1年,焼きそば,主食,両日,,https://www.instagram.com/international_yakisobadokoro
55,くものうえのわたがし,総合1-6,わたあめ,間食,両日,,https://www.instagram.com/scs_watagashi
56,アサイーボウル屋さん,体専1-４,アサイーボウル,間食,本祭のみ,,https://www.instagram.com/acaibowl_yadokari
57,フランクフルト工シス店,"工シス1-1,2",フランクフルト,間食,両日,,https://www.instagram.com/frankfurt_esys12
58,チョコバナナよりもあ・な・た♡,心理1年,チョコバナナ,デザート,両日,,https://www.instagram.com/chocobanana_itf.s2
59,釈迦釈迦ポテト,"人文1-1,2",フライドポテト,間食,両日,,https://www.instagram.com/tsukuba_shaka.pote
60,たこチュ！,"総合2類1-4,5",チュロス,間食,両日,,https://www.instagram.com/tsukuba_1.45_takochu
61,ヤキヤキ★ナイトⅡ,"資源1-1,2",焼きそば,主食,両日,,https://www.instagram.com/ykyknight
62,クレープ＆スムージー　クレイジー,"社工1-2,4",クレープ,デザート,両日,,https://www.instagram.com/yadosai_shako24
